	Link	Country	Currency	PerMonth	PerHour	LastUpdated	Date of scrape
100	https://wageindicator.org/salary/minimum-wage/suriname	Suriname	Suriname				03/05/2019 10:49
101	https://wageindicator.org/salary/minimum-wage/swaziland	Swaziland	Swaziland	531.6		Valid on mei 2019	03/05/2019 10:49
102	https://wageindicator.org/salary/minimum-wage/sweden	Sweden	Sweden				03/05/2019 10:49
103	https://wageindicator.org/salary/minimum-wage/switzerland	Switzerland	Switzerland		20		03/05/2019 10:49
104	https://wageindicator.org/salary/minimum-wage/tanzania	Tanzania	Tanzania			Valid on mei 2019	03/05/2019 10:49
105	https://wageindicator.org/salary/minimum-wage/togo	Togo	Togo	"35,000.00"		Valid on mei 2019	03/05/2019 10:49
106	https://wageindicator.org/salary/minimum-wage/trinidad-and-tobago	Trinidad and Tobago	Trinidad and Tobago		15	Valid on mei 2019	03/05/2019 10:49
107	https://wageindicator.org/salary/minimum-wage/tunisia	Tunisia	Tunisia				03/05/2019 10:49
108	https://wageindicator.org/salary/minimum-wage/turkey	Turkey	Turkey	"2,020.00"		Valid on mei 2019	03/05/2019 10:49
109	https://wageindicator.org/salary/minimum-wage/uganda	Uganda	Uganda	"130,000.00"		Valid on mei 2019	03/05/2019 10:49
110	https://wageindicator.org/salary/minimum-wage/ukraine	Ukraine	Ukraine	"4,173.00"	25.13	Valid on mei 2019	03/05/2019 10:49
111	https://wageindicator.org/salary/minimum-wage/united-kingdom	United Kingdom	United Kingdom		8.21	Valid on mei 2019	03/05/2019 10:49
112	https://wageindicator.org/salary/minimum-wage/united-states	United States	United States				03/05/2019 10:49
113	https://wageindicator.org/salary/minimum-wage/uruguay	Uruguay	Uruguay				03/05/2019 10:49
114	https://wageindicator.org/salary/minimum-wage/venezuela	Venezuela	Venezuela	"18,000.00"		Valid on mei 2019	03/05/2019 10:49
115	https://wageindicator.org/salary/minimum-wage/vietnam	Vietnam	Vietnam	"4,180,000.00"		Valid on mei 2019	03/05/2019 10:49
116	https://wageindicator.org/salary/minimum-wage/zambia	Zambia	Zambia	"1,698.60"		Valid on mei 2019	03/05/2019 10:49
117	https://wageindicator.org/salary/minimum-wage/albania	Albania	Albania	"26,000.00"	149	Valid on mei 2019	03/05/2019 10:49
118	https://wageindicator.org/salary/minimum-wage/angola	Angola	Angola	"21,454.00"		Valid on mei 2019	03/05/2019 10:49
119	https://wageindicator.org/salary/minimum-wage/burkina-faso	Burkina Faso	Burkina Faso	"34,664.00"		Valid on mei 2019	03/05/2019 10:49
120	https://wageindicator.org/salary/minimum-wage/burundi	Burundi	Burundi			Valid on mei 2019	03/05/2019 10:49
121	https://wageindicator.org/salary/minimum-wage/croatia	Croatia	Croatia	"3,750.00"		Valid on mei 2019	03/05/2019 10:49
122	https://wageindicator.org/salary/minimum-wage/cuba	Cuba	Cuba				03/05/2019 10:49
123	https://wageindicator.org/salary/minimum-wage/cyprus	Cyprus	Cyprus	870	4.9	Valid on mei 2019	03/05/2019 10:49
124	https://wageindicator.org/salary/minimum-wage/estonia	Estonia	Estonia	540	3.2		03/05/2019 10:49
125	https://wageindicator.org/salary/minimum-wage/fiji	Fiji	Fiji			Valid on mei 2019	03/05/2019 10:49
126	https://wageindicator.org/salary/minimum-wage/reunion	Reunion	Reunion				03/05/2019 10:49
127	https://wageindicator.org/salary/minimum-wage/romania	Romania	Romania	"2,080.00"		Valid on mei 2019	03/05/2019 10:49
128	https://wageindicator.org/salary/minimum-wage/zanzibar	Zanzibar	Zanzibar			Valid on mei 2019	03/05/2019 10:49
129	https://wageindicator.org/salary/minimum-wage/zimbabwe	Zimbabwe	Zimbabwe				03/05/2019 10:49
